name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"3200 Jones Rd, Austin, TX 78745",2020-01-01,56.7,50.5,53.8,56.7,50.5,53.8,36.2,52.5,0,0,0,,0,0,17.2,8.8,187.5,1014.8,96.2,9.7,30.7,2.5,2,,2020-01-01T07:27:42,2020-01-01T17:41:47,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-02,60.4,46.8,54.3,60.4,46.8,54.3,49.9,85.3,0.008,100,8.33,rain,0,0,16.6,6.9,161,1004.6,57.1,8.3,29.8,2.7,1,,2020-01-02T07:27:56,2020-01-02T17:42:30,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-03,64.6,47.2,55,64.6,47,54.7,40.6,61,0,0,0,,0,0,27.7,13.8,314,1014.5,18.7,9.9,143,12.2,6,,2020-01-03T07:28:08,2020-01-03T17:43:14,0.27,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-04,71.4,39.7,54.1,71.4,35.4,52.9,31.1,44.2,0,0,0,,0,0,18.3,7.9,297.3,1026.8,0,9.9,152.8,13.2,6,,2020-01-04T07:28:19,2020-01-04T17:43:59,0.31,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-05,74.5,43.7,58,74.5,41.9,57.8,33.5,42.1,0,0,0,,0,0,25.3,12.7,224.5,1025.1,0.1,9.9,153.5,13.3,6,,2020-01-05T07:28:28,2020-01-05T17:44:44,0.34,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-06,74.8,42.2,58,74.8,40.9,57.9,41.5,57.2,0,0,0,,0,0,26.4,15,260.6,1020.8,9.4,9.9,146.4,12.7,6,,2020-01-06T07:28:36,2020-01-06T17:45:30,0.37,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-07,67.3,40,53.2,67.3,40,52.6,22.7,33.9,0,0,0,,0,0,25.3,13.3,3.3,1029,4.1,9.9,157.9,13.7,6,,2020-01-07T07:28:41,2020-01-07T17:46:17,0.4,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-08,70.2,33.7,52.6,70.2,33.7,52.6,35.5,53.8,0,0,0,,0,0,27,16.4,163.9,1024.4,25.6,9.9,150.1,13.2,6,,2020-01-08T07:28:45,2020-01-08T17:47:05,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-09,77.2,62.8,68.7,77.2,62.8,68.7,59.8,74.1,0,0,0,,0,0,31.2,19,171.1,1014.7,87.9,9.6,46,3.9,3,,2020-01-09T07:28:48,2020-01-09T17:47:53,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-10,77.4,59.7,70.8,77.4,59.7,70.8,62.5,75.5,0.258,100,16.67,rain,0,0,36.3,26,169.9,1008,83.5,9.5,41.2,3.6,2,,2020-01-10T07:28:49,2020-01-10T17:48:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-11,58.7,41.3,51.3,58.7,38.8,49.6,39,64.1,0.2,100,12.5,rain,0,0,31.1,17.6,320.9,1018.8,40.8,9.9,154.2,13.3,6,,2020-01-11T07:28:48,2020-01-11T17:49:31,0.53,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72054200166,72254413958,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-12,61.6,33.7,47.1,61.6,33.7,46.9,38.2,73,0,0,0,,0,0,20.6,9.1,174.5,1022.1,21.6,9.7,113.1,9.7,4,,2020-01-12T07:28:45,2020-01-12T17:50:21,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-13,60.4,51,56.3,60.4,51,56.3,53.9,91.6,0.038,100,25,rain,0,0,11.2,4.1,82.9,1021,97.6,3.1,25.5,2.2,1,,2020-01-13T07:28:41,2020-01-13T17:51:12,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-14,75.2,60,65.8,75.2,60,65.8,62.5,89.4,0,0,0,,0,0,16.3,9.2,156.5,1018.3,82.1,3.6,59.3,5.2,3,,2020-01-14T07:28:35,2020-01-14T17:52:03,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-15,81.2,69.3,73.2,82.5,69.3,73.3,66.1,79.7,0.011,100,8.33,rain,0,0,28,13.7,175.6,1017.4,79.2,6.9,90.9,7.9,4,,2020-01-15T07:28:28,2020-01-15T17:52:54,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-16,70.5,56.7,62.1,70.5,56.7,62.1,59.1,89.9,0.334,100,29.17,rain,0,0,20.8,14.4,15.7,1023.5,93.8,6.7,23.8,2.1,1,,2020-01-16T07:28:18,2020-01-16T17:53:45,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,AURT2,E0214,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-17,58.7,50.6,55.3,58.7,50.6,55.3,53,91.7,0.102,100,33.33,rain,0,0,26.6,5.1,329.8,1022.1,93.3,5.9,35.9,3,2,,2020-01-17T07:28:07,2020-01-17T17:54:37,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
