name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
9301 Johnny Morris Road Austin,2020-01-01,56.1,49.4,53.2,56.1,49.4,53.2,35.9,53,0,0,0,,0,0,17.2,10.2,199,1014.9,96.4,9.2,29.3,2.5,2,,2020-01-01T07:27:12,2020-01-01T17:40:50,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,EAUT2,72254413958"
9301 Johnny Morris Road Austin,2020-01-02,59.7,47.3,53.6,59.7,47.3,53.5,50,87.6,0.01,100,12.5,rain,0,0,16.6,10.4,172,1004.8,54.9,7.6,28.7,2.3,1,,2020-01-02T07:27:26,2020-01-02T17:41:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958"
9301 Johnny Morris Road Austin,2020-01-03,63.7,45.8,54,63.7,44.8,53.5,41,64.8,0,0,0,,0,0,25.6,16.1,316.8,1014.5,16.6,9.2,144.1,12.3,6,,2020-01-03T07:27:38,2020-01-03T17:42:17,0.27,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958"
9301 Johnny Morris Road Austin,2020-01-04,70.6,37.9,54.2,70.6,37.9,53.6,30.3,43,0,0,0,,0,0,18.3,8.1,289.3,1026.8,0.6,9.9,150.7,13,6,,2020-01-04T07:27:48,2020-01-04T17:43:01,0.31,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958"
9301 Johnny Morris Road Austin,2020-01-05,73.9,44,57.5,73.9,41,56.5,33.2,42.2,0,0,0,,0,0,22.2,14.4,218.8,1025.2,1.7,9.9,151.5,13.1,6,,2020-01-05T07:27:57,2020-01-05T17:43:47,0.34,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958"
9301 Johnny Morris Road Austin,2020-01-06,74.1,41.6,57.6,74.1,41.6,57.6,41.9,59,0,0,0,,0,0,26.9,17.4,254.2,1020.9,8.7,9.9,146,12.8,6,,2020-01-06T07:28:05,2020-01-06T17:44:33,0.37,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958"
9301 Johnny Morris Road Austin,2020-01-07,65.9,40.8,53.3,65.9,36.4,51.9,22,33.2,0,0,0,,0,0,23.8,14.8,356.5,1029,5.4,9.9,157.4,13.7,6,,2020-01-07T07:28:10,2020-01-07T17:45:20,0.4,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958"
9301 Johnny Morris Road Austin,2020-01-08,69.2,34.5,52.9,69.2,32,52.8,35,52.1,0,0,0,,0,0,24.7,15.2,167.2,1024.4,23.8,9.9,150,12.9,6,,2020-01-08T07:28:15,2020-01-08T17:46:08,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958"
9301 Johnny Morris Road Austin,2020-01-09,76.3,62.8,68.1,76.3,62.8,68.1,60,76,0,0,0,,0,0,31,14.3,171.7,1015,85.9,9.3,36.5,3.2,2,,2020-01-09T07:28:17,2020-01-09T17:46:56,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958"
9301 Johnny Morris Road Austin,2020-01-10,76,59.3,70.1,76,59.3,70.1,62.6,77.5,0.292,100,12.5,rain,0,0,33.2,23.4,172.8,1008.3,82.5,9,36.9,3.2,2,,2020-01-10T07:28:18,2020-01-10T17:47:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958"
