name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"4600 Elmont Dr Austin, TX 78741",2020-01-01,56.8,50.3,53.8,56.8,50.3,53.8,36.7,53.5,0,0,0,,0,0,17.2,10,187.2,1014.8,96.9,9.6,29.4,2.4,2,,2020-01-01T07:27:21,2020-01-01T17:41:24,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958,D9418"
"4600 Elmont Dr Austin, TX 78741",2020-01-02,60.7,44.3,54,60.7,44.3,54,49.9,86.1,0.015,100,12.5,rain,0,0,16.6,8.1,164.9,1004.6,64.3,8.4,30.5,2.7,1,,2020-01-02T07:27:35,2020-01-02T17:42:06,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-03,65.2,44,54.5,65.2,43.8,54.2,40.8,63,0,0,0,,0,0,26.6,14.5,313,1014.4,24.8,9.8,148.7,12.7,6,,2020-01-03T07:27:48,2020-01-03T17:42:50,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-04,71.3,37,53.2,71.3,33.2,52.3,31.3,46.4,0,0,0,,0,0,18.3,7.9,293.4,1026.8,0.1,9.9,157.3,13.5,6,,2020-01-04T07:27:58,2020-01-04T17:43:35,0.31,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-05,74.3,42.2,57.3,74.3,40.5,56.8,33.6,43.5,0,0,0,,0,0,24.8,16.5,216.2,1025.1,0.2,9.9,159.7,13.9,6,,2020-01-05T07:28:07,2020-01-05T17:44:20,0.34,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-06,74.8,39.1,56.7,74.8,39.1,56.6,41.6,60.5,0,0,0,,0,0,26.2,15.6,246.3,1020.8,15.5,9.9,146.4,12.6,6,,2020-01-06T07:28:15,2020-01-06T17:45:06,0.37,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-07,67.4,36.8,52,67.4,36.8,51.4,23.7,37.3,0,0,0,,0,0,24.9,14.6,2,1028.9,6.8,9.9,163.2,14.3,6,,2020-01-07T07:28:21,2020-01-07T17:45:53,0.4,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-08,70.6,30.4,51.4,70.6,30.4,51.4,35.7,57.2,0,0,0,,0,0,27.9,16.9,163.3,1024.4,32.2,9.9,157,13.6,6,,2020-01-08T07:28:25,2020-01-08T17:46:41,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-09,77.6,62.9,68.9,77.6,62.9,68.9,60.3,74.7,0,0,0,,0,0,31.1,19.7,170.3,1014.6,85.9,9.5,46.1,4,2,,2020-01-09T07:28:27,2020-01-09T17:47:29,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-10,77.9,60.1,71,77.9,60.1,71,63,76,0.235,100,12.5,rain,0,0,35.8,27.2,168.9,1007.9,80.8,9.5,40,3.6,2,,2020-01-10T07:28:28,2020-01-10T17:48:18,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
