name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"2210 FM 973, Austin, TX 78725",2020-01-01,56.9,50,53.7,56.9,48.8,53.7,37.2,54.7,0,0,0,,0,0,17.2,11.1,186.3,1014.7,97.2,9.6,29.5,2.5,2,,2020-01-01T07:27:00,2020-01-01T17:41:08,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"2210 FM 973, Austin, TX 78725",2020-01-02,60.9,42,53.8,60.9,42,53.8,50,86.9,0.021,100,12.5,rain,0,0,16.6,9.1,167.4,1004.5,70.1,8.6,28.8,2.3,1,,2020-01-02T07:27:14,2020-01-02T17:41:51,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"2210 FM 973, Austin, TX 78725",2020-01-03,65.6,41,54.1,65.6,40.6,53.7,41,64.9,0,0,0,,0,0,25.6,15,310.8,1014.3,30.4,9.9,145.2,12.4,6,,2020-01-03T07:27:26,2020-01-03T17:42:35,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"2210 FM 973, Austin, TX 78725",2020-01-04,71.1,34.3,52.3,71.1,31.2,51.3,31.5,48.9,0,0,0,,0,0,18.3,7.9,282.5,1026.7,0.1,9.9,151.2,13,6,,2020-01-04T07:27:37,2020-01-04T17:43:19,0.31,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"2210 FM 973, Austin, TX 78725",2020-01-05,74.1,39.9,56.7,74.1,36.9,55.9,33.7,44.9,0,0,0,,0,0,25.1,20.5,207.8,1025.1,0.2,9.9,152.1,13.2,6,,2020-01-05T07:27:46,2020-01-05T17:44:05,0.34,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"2210 FM 973, Austin, TX 78725",2020-01-06,74.9,36.3,55.5,74.9,36.3,55.4,41.7,63.4,0,0,0,,0,0,26,16.1,240.5,1020.8,20,9.9,146,12.7,6,,2020-01-06T07:27:53,2020-01-06T17:44:51,0.37,Clear,Partly cloudy throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"2210 FM 973, Austin, TX 78725",2020-01-07,67.7,33.6,50.8,67.7,33.6,50,24.7,41.1,0,0,0,,0,0,24.4,15.8,2.1,1028.9,9.2,9.9,158,13.8,6,,2020-01-07T07:27:59,2020-01-07T17:45:38,0.4,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"2210 FM 973, Austin, TX 78725",2020-01-08,70.9,27.4,50.3,70.9,26.3,50.2,36,60.8,0,0,0,,0,0,28.7,17.7,162.3,1024.5,38.1,9.9,150.7,13,6,,2020-01-08T07:28:03,2020-01-08T17:46:25,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"2210 FM 973, Austin, TX 78725",2020-01-09,77.9,63,69.1,77.9,63,69.1,60.6,75.3,0,0,0,,0,0,30.6,20.2,169.5,1014.5,82.5,9.5,36.6,3.2,2,,2020-01-09T07:28:06,2020-01-09T17:47:14,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"2210 FM 973, Austin, TX 78725",2020-01-10,78,60.1,71,78,60.1,71,63.3,76.7,0.273,100,12.5,rain,0,0,35.9,27.4,168.1,1007.9,77.5,9.5,37.6,3.2,2,,2020-01-10T07:28:07,2020-01-10T17:48:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
