name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-01,56.8,50,53.6,56.8,50,53.6,37.2,54.9,0,0,0,,0,0,14.5,10.1,187.9,1014.8,97.8,9.7,32.8,2.7,3,,2020-01-01T07:27:12,2020-01-01T17:41:52,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"C9790,72253912979,KATT,KAUS,KRET2,72254013904,72254413958,KHYI"
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-02,60.6,43,53.7,60.6,43,53.7,50,87.3,0.018,100,12.5,rain,0,0,14.8,8,164.2,1004.6,68.6,8.3,29.6,2.7,1,,2020-01-02T07:27:26,2020-01-02T17:42:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"C9790,72253912979,KATT,KAUS,72254013904,72254413958,KHYI"
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-03,65.4,42.1,54.1,65.4,42.1,53.8,40.9,64.4,0,0,0,,0,0,27.7,15.3,313.8,1014.4,25.9,9.8,115,9.9,6,,2020-01-03T07:27:38,2020-01-03T17:43:18,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C9790,72253912979,KATT,KAUS,72254013904,72254413958,KHYI"
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-04,71.3,35.3,52.5,71.3,31.4,51.5,31.3,48.1,0,0,0,,0,0,18.3,7.1,284.3,1026.7,0,9.9,120.9,10.5,6,,2020-01-04T07:27:49,2020-01-04T17:44:03,0.31,Clear,Clear conditions throughout the day.,clear-day,"C9790,72253912979,KATT,KAUS,72254013904,72254413958,KHYI"
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-05,74.2,40.3,56.7,74.2,38,56,33.7,44.6,0,0,0,,0,0,25.3,18.9,214.6,1025.2,0,9.9,126,10.9,6,,2020-01-05T07:27:58,2020-01-05T17:44:48,0.34,Clear,Clear conditions throughout the day.,clear-day,"C9790,72253912979,KATT,KAUS,KRET2,72254013904,72254413958,KHYI"
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-06,74.9,37.8,56,74.9,37.8,55.9,41.9,62.7,0,0,0,,0,0,26.4,16.1,246.4,1020.8,17.6,9.7,122.3,10.5,6,,2020-01-06T07:28:06,2020-01-06T17:45:34,0.37,Clear,Clear conditions throughout the day.,clear-day,"C9790,72253912979,KATT,KAUS,72254013904,72254413958,KHYI"
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-07,67.6,34.3,51.3,67.6,34.3,50.6,24.3,39.6,0,0,0,,0,0,25.3,15,1.2,1028.9,7.1,9.9,135.5,11.6,6,,2020-01-07T07:28:12,2020-01-07T17:46:21,0.4,Clear,Clear conditions throughout the day.,clear-day,"C9790,72253912979,KATT,KAUS,72254013904,72254413958,KHYI"
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-08,70.9,28.5,50.7,70.9,28.5,50.7,36,59.7,0,0,0,,0,0,28.5,17.4,161,1024.4,34.2,9.9,130.6,11.2,6,,2020-01-08T07:28:16,2020-01-08T17:47:08,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C9790,72253912979,KATT,KAUS,72254013904,72254413958,KHYI"
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-09,77.8,62.8,69,77.8,62.8,69,60.6,75.5,0,0,0,,0,0,31.1,20.8,170.4,1014.5,84.9,9.5,53.3,4.7,4,,2020-01-09T07:28:18,2020-01-09T17:47:56,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C9790,72253912979,KATT,KAUS,72254013904,72254413958,KHYI"
"12200 Carl Rd, Creedmoor, TX 78610",2020-01-10,77.7,59.4,70.8,77.7,59.4,70.8,63.3,77.2,0.265,100,16.67,rain,0,0,36.7,26.9,169,1007.9,82.5,9.4,37.2,3.1,2,,2020-01-10T07:28:19,2020-01-10T17:48:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"C9790,72253912979,KATT,KAUS,KRET2,72254013904,72254413958,KHYI"
