name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,location
9301 Johnny Morris Road Austin,01/01/2020,56.1,49.4,53.2,56.1,49.4,53.2,35.9,53.0,0.0,0,0.0,,0,0,17.2,10.2,199.0,1014.9,96.4,9.2,29.3,2.5,2,,2020-01-01T07:27:12,2020-01-01T17:40:50,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/02/2020,59.7,47.3,53.6,59.7,47.3,53.5,50.0,87.6,0.01,100,12.5,rain,0,0,16.6,10.4,172.0,1004.8,54.9,7.6,28.7,2.3,1,,2020-01-02T07:27:26,2020-01-02T17:41:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/03/2020,63.7,45.8,54.0,63.7,44.8,53.5,41.0,64.8,0.0,0,0.0,,0,0,25.6,16.1,316.8,1014.5,16.6,9.2,144.1,12.3,6,,2020-01-03T07:27:38,2020-01-03T17:42:17,0.27,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/04/2020,70.6,37.9,54.2,70.6,37.9,53.6,30.3,43.0,0.0,0,0.0,,0,0,18.3,8.1,289.3,1026.8,0.6,9.9,150.7,13.0,6,,2020-01-04T07:27:48,2020-01-04T17:43:01,0.31,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/05/2020,73.9,44.0,57.5,73.9,41.0,56.5,33.2,42.2,0.0,0,0.0,,0,0,22.2,14.4,218.8,1025.2,1.7,9.9,151.5,13.1,6,,2020-01-05T07:27:57,2020-01-05T17:43:47,0.34,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/06/2020,74.1,41.6,57.6,74.1,41.6,57.6,41.9,59.0,0.0,0,0.0,,0,0,26.9,17.4,254.2,1020.9,8.7,9.9,146.0,12.8,6,,2020-01-06T07:28:05,2020-01-06T17:44:33,0.37,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/07/2020,65.9,40.8,53.3,65.9,36.4,51.9,22.0,33.2,0.0,0,0.0,,0,0,23.8,14.8,356.5,1029.0,5.4,9.9,157.4,13.7,6,,2020-01-07T07:28:10,2020-01-07T17:45:20,0.4,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/08/2020,69.2,34.5,52.9,69.2,32.0,52.8,35.0,52.1,0.0,0,0.0,,0,0,24.7,15.2,167.2,1024.4,23.8,9.9,150.0,12.9,6,,2020-01-08T07:28:15,2020-01-08T17:46:08,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/09/2020,76.3,62.8,68.1,76.3,62.8,68.1,60.0,76.0,0.0,0,0.0,,0,0,31.0,14.3,171.7,1015.0,85.9,9.3,36.5,3.2,2,,2020-01-09T07:28:17,2020-01-09T17:46:56,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/10/2020,76.0,59.3,70.1,76.0,59.3,70.1,62.6,77.5,0.292,100,12.5,rain,0,0,33.2,23.4,172.8,1008.3,82.5,9.0,36.9,3.2,2,,2020-01-10T07:28:18,2020-01-10T17:47:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/11/2020,58.5,40.2,50.0,58.5,36.2,47.7,38.9,66.7,0.057,100,12.5,rain,0,0,26.4,17.9,325.0,1019.0,40.0,9.9,142.8,12.2,6,,2020-01-11T07:28:17,2020-01-11T17:48:35,0.53,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/12/2020,60.3,32.9,46.5,60.3,32.9,46.3,38.4,75.4,0.0,0,0.0,,0,0,20.6,9.4,188.9,1022.1,12.1,9.4,120.9,10.3,4,,2020-01-12T07:28:14,2020-01-12T17:49:25,0.57,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/13/2020,59.7,49.5,55.2,59.7,49.5,55.2,53.6,94.6,0.031,100,25.0,rain,0,0,11.2,3.7,82.1,1021.2,96.4,2.7,31.1,2.6,1,,2020-01-13T07:28:10,2020-01-13T17:50:15,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/14/2020,73.3,59.6,64.8,73.3,59.6,64.8,62.6,92.8,0.006,100,4.17,rain,0,0,16.3,8.5,166.1,1018.5,85.6,2.9,50.8,4.4,2,,2020-01-14T07:28:04,2020-01-14T17:51:06,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/15/2020,80.5,68.6,72.5,82.1,68.6,72.6,66.3,82.2,0.005,100,8.33,rain,0,0,24.2,15.5,179.8,1017.7,75.6,6.8,86.6,7.6,3,,2020-01-15T07:27:56,2020-01-15T17:51:58,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/16/2020,69.2,56.1,61.0,69.2,56.1,61.0,59.1,93.3,0.39,100,29.17,rain,0,0,20.8,14.2,11.2,1023.8,95.6,5.0,28.9,2.6,1,,2020-01-16T07:27:46,2020-01-16T17:52:49,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5346,KATT,72064800230,KAUS,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/17/2020,58.9,50.4,55.5,58.9,50.4,55.5,54.1,95.2,0.166,100,37.5,rain,0,0,26.6,6.5,330.5,1022.2,92.4,5.4,37.9,3.2,2,,2020-01-17T07:27:35,2020-01-17T17:53:41,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/18/2020,67.6,49.0,61.6,67.6,43.5,61.1,51.3,71.9,0.002,100,4.17,rain,0,0,28.0,17.2,0.6,1022.8,60.3,7.1,102.0,8.7,6,,2020-01-18T07:27:23,2020-01-18T17:54:34,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,72064800230,KAUS,E4737,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/19/2020,56.4,40.0,47.3,56.4,32.3,42.9,23.8,40.4,0.0,0,0.0,,0,0,29.8,17.2,20.5,1032.3,5.1,9.9,164.1,14.1,6,,2020-01-19T07:27:08,2020-01-19T17:55:26,0.82,Clear,Clear conditions throughout the day.,clear-day,"KATT,72064800230,KAUS,C6155,KEDC,72254013904,EAUT2,72254413958",BALCONES RECYCLING
9301 Johnny Morris Road Austin,01/20/2020,59.5,34.3,46.5,59.5,29.1,44.6,26.1,48.3,0.0,0,0.0,,0,0,13.2,8.1,12.1,1034.2,19.3,9.9,163.0,14.1,6,,2020-01-20T07:26:52,2020-01-20T17:56:19,0.85,Clear,Clear conditions throughout the day.,clear-day,"72064800230,KAUS,C6155,KEDC,72254013904,EAUT2",BALCONES RECYCLING
